Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days
04/18/2022,Race_eth_NHOther,7685824,4,3,6436251,,,3.8,2.9,46,3.2,3.8,2.9,2837897,24185
04/18/2022,Ages_75+_yrs,22841361,8.9,8.9,19803385,95,86.5,9,9,70.4,14,9.4,18.6,13935866,173817
04/18/2022,Ages_<5yrs,87366,0,0,40760,0.4,0.2,0,0,0,0,0,0,0,0
04/18/2022,Race_eth_known,191071966,99.9,74.4,170186280,,,99.9,77.7,54.4,99.9,99.9,99.9,88794033,839721
04/18/2022,Ages_<12yrs,10135524,3.9,3.9,8155961,20.9,16.8,3.7,3.7,0,0,0,0,0,0
04/18/2022,Ages_5-11_yrs,10041944,3.9,3.9,8113688,34.9,28.2,3.7,3.7,0,0,0,0,0,0
04/18/2022,Sex_Male,121706763,47.8,47.4,103462868,74.5,63.3,47.6,47.3,45.2,45.2,47.5,45.6,44908508,424993
04/18/2022,Ages_16-17_yrs,6076093,2.4,2.4,5211266,72.4,62.1,2.4,2.4,29.1,1.5,2.5,2,1517639,18689
04/18/2022,Race_eth_NHNHOPI,613274,0.3,0.2,553525,66,59.6,0.3,0.3,46.9,0.3,0.3,0.4,244943,2961
04/18/2022,Race_eth_NHWhite,105143063,55,40.9,95431707,53.3,48.4,56.1,43.6,59,61.3,56.6,51,54473194,428228
04/18/2022,Race_eth_NHAsian,12766403,6.7,5,11537833,67.2,60.7,6.8,5.3,68.5,8.3,6.6,7.1,7371539,59369
04/18/2022,Ages_40-49_yrs,35243067,13.7,13.7,30311584,86.4,74.3,13.8,13.8,43.4,13.2,14.4,8,13157088,74758
04/18/2022,Age_known,256805856,99.9,99.9,218935198,,,99.9,99.9,47.2,99.9,99.9,99.9,99479193,933701
04/18/2022,Race_eth_NHMult_Oth,11445483,6,4.5,10197693,,,6,4.7,55.6,6,5.9,11.8,5366485,98703
04/18/2022,Race_eth_NHBlack,19648421,10.3,7.7,17181353,47.7,41.7,10.1,7.8,44.4,8.3,10.1,10.2,7346042,85977
04/18/2022,Age_unknown,8787,0,0,2163,,,0,0,0,0,0,0,0,0
04/18/2022,US,256814643,,100,218937361,77.4,65.9,,100,47.2,,100,,99479193,933701
